Date	Action	Direction	Protocol	Application/Service	Local IP address	Local hostname	Local port	Remote IP address	Remote hostname	Remote port	ICMP info	Kind
Dec 18, 2016, 6:32:09 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	113.128.96.172	113.128.96.172	30879		User-defined setting
Dec 18, 2016, 6:32:09 PM	DENIED	Incoming	TCP	Port 7657	121.238.69.101	121.238.69.101	7657	121.30.69.196	121.30.69.196	9319		User-defined setting
Dec 18, 2016, 6:32:07 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	121.30.69.196	121.30.69.196	20499		User-defined setting
Dec 18, 2016, 6:32:05 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	121.24.123.15	121.24.123.15	38420		User-defined setting
Dec 18, 2016, 6:32:03 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	220.164.162.99	220.164.162.99	32041		User-defined setting
Dec 18, 2016, 6:32:02 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	121.30.69.196	121.30.69.196	20499		User-defined setting
Dec 18, 2016, 6:31:58 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:31:57 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	117.31.76.244	117.31.76.244	1736		User-defined setting
Dec 18, 2016, 6:31:56 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	221.239.86.118	221.239.86.118	12390		User-defined setting
Dec 18, 2016, 6:31:54 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:31:54 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	101.80.253.14	101.80.253.14	41063		User-defined setting
Dec 18, 2016, 6:31:52 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	117.31.76.244	117.31.76.244	1736		User-defined setting
Dec 18, 2016, 6:31:50 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	114.106.75.49	114.106.75.49	7076		User-defined setting
Dec 18, 2016, 6:31:50 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:31:48 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	220.248.183.75	220.248.183.75	2776		User-defined setting
Dec 18, 2016, 6:31:48 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	60.177.214.245	60.177.214.245	4937		User-defined setting
Dec 18, 2016, 6:31:47 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	58.216.23.120	58.216.23.120	28011		User-defined setting
Dec 18, 2016, 6:31:46 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:31:45 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	114.106.75.49	114.106.75.49	7076		User-defined setting
Dec 18, 2016, 6:31:43 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	114.106.75.49	114.106.75.49	7076		User-defined setting
Dec 18, 2016, 6:31:43 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	220.248.183.75	220.248.183.75	2776		User-defined setting
Dec 18, 2016, 6:31:42 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:31:42 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	220.248.183.75	220.248.183.75	2776		User-defined setting
Dec 18, 2016, 6:31:38 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	114.106.75.49	114.106.75.49	7076		User-defined setting
Dec 18, 2016, 6:31:38 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:31:36 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	220.248.183.75	220.248.183.75	2776		User-defined setting
Dec 18, 2016, 6:31:34 PM	DENIED	Incoming	UDP	Port 12345	121.238.69.101	121.238.69.101	12345	218.88.12.153	218.88.12.153	12345		User-defined setting
Dec 18, 2016, 6:31:33 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	171.214.92.217	171.214.92.217	60834		User-defined setting
Dec 18, 2016, 6:31:32 PM	DENIED	Incoming	UDP	Port 7657	121.238.69.101	121.238.69.101	7657	113.232.175.245	113.232.175.245	21331		User-defined setting
